name,category,unit_type,unit_cost,sku,default_waste_pct,is_taxable,notes,default_vendor_name
Bifold Door 3068 2-Panel,Windows & Doors,EA,85.00,WD-BF3068-2,0,true,2-panel hollow core bifold door 30"x80".,Window & Door Depot
Sliding Closet Door 5068 Bypass,Windows & Doors,EA,145.00,WD-SC5068,0,true,2-panel bypass sliding closet door 50"x80".,Window & Door Depot
Pocket Door Hardware Kit 2868,Windows & Doors,EA,185.00,WD-PKTHW2868,0,true,Pocket door frame and hardware kit for 28"x80" door.,Window & Door Depot
Garage Door 16x7 Steel Insulated,Windows & Doors,EA,1200.00,WD-GD167-INS,0,true,16'x7' insulated steel garage door. R-12 value.,Window & Door Depot
Garage Door 9x7 Steel Insulated,Windows & Doors,EA,750.00,WD-GD97-INS,0,true,9'x7' insulated single-car steel garage door.,Window & Door Depot
Door Lockset Entry Keyed,Windows & Doors,EA,65.00,WD-LKSET-ENT,5,true,Keyed entry lockset with deadbolt combo.,Window & Door Depot
Door Lockset Passage (Interior),Windows & Doors,EA,35.00,WD-LKSET-PAS,5,true,Passage knob set for interior doors.,Window & Door Depot
Door Lockset Privacy (Bathroom),Windows & Doors,EA,38.00,WD-LKSET-PRV,5,true,Privacy lockset with push-button lock for bathrooms.,Window & Door Depot
Door Hinge 3.5" Satin Nickel (3-pack),Windows & Doors,PK,12.00,WD-HNGE35-3,5,true,3.5" square corner door hinges.,Window & Door Depot
Door Stop Wall Mount,Windows & Doors,EA,4.50,WD-DSTOP-WL,5,true,Wall-mounted rubber door stop.,Window & Door Depot
Vinyl Siding Double 4" (per SF),Exterior Finishes,SF,1.45,EXT-VSID4-SF,10,true,Double 4" vinyl siding panel. Price per SF.,Regional Lumber Co.
Fiber Cement Siding HardiePlank (per SF),Exterior Finishes,SF,2.85,EXT-HPLN-SF,10,true,5/4" HardiePlank lap siding. Price per SF.,Regional Lumber Co.
Fiber Cement Trim Board 5/4"x6"x16',Exterior Finishes,EA,42.00,EXT-HTRM-5416,10,true,HardieTrim fiber cement board for corners and banding.,Regional Lumber Co.
Vinyl Soffit Vented (per SF),Exterior Finishes,SF,1.25,EXT-VSFT-SF,10,true,Vented vinyl soffit panel. Price per SF.,Regional Lumber Co.
Aluminum Fascia 12"x10',Exterior Finishes,EA,18.00,EXT-AFAS12-10,10,true,Pre-painted aluminum fascia board.,Regional Lumber Co.
Vinyl J-Channel 12',Exterior Finishes,EA,4.50,EXT-VJCH12,5,true,Vinyl J-channel for siding edges and window framing.,Regional Lumber Co.
Vinyl Utility Trim 12',Exterior Finishes,EA,5.50,EXT-VUTR12,5,true,Vinyl utility trim for inside corners and openings.,Regional Lumber Co.
Gutter 5" K-Style Aluminum 10',Exterior Finishes,EA,8.50,EXT-GUT5K-10,5,true,5-inch K-style aluminum gutter section.,Pro Hardware Supply
Downspout 3"x4" Aluminum 10',Exterior Finishes,EA,7.50,EXT-DS34-10,5,true,Rectangular aluminum downspout.,Pro Hardware Supply
Gutter End Cap,Exterior Finishes,EA,3.50,EXT-GUT-ECAP,5,true,End cap for K-style gutter. Left or right.,Pro Hardware Supply
Gutter Outlet,Exterior Finishes,EA,4.50,EXT-GUT-OUT,5,true,Drop outlet for connecting gutter to downspout.,Pro Hardware Supply
Gutter Hanger Strap,Exterior Finishes,EA,1.25,EXT-GUT-HNGR,5,true,Screw-type hidden gutter hanger.,Pro Hardware Supply
Downspout Elbow 3"x4",Exterior Finishes,EA,4.00,EXT-DS-ELB34,5,true,Aluminum downspout elbow.,Pro Hardware Supply
Exterior Corner Vinyl Siding,Exterior Finishes,EA,3.50,EXT-VCNR,5,true,Vinyl outside corner post for siding.,Regional Lumber Co.
Starter Strip Vinyl Siding 12',Exterior Finishes,EA,4.00,EXT-VSTR12,5,true,Vinyl siding starter strip.,Regional Lumber Co.
Vent Cap 4" Exterior,Exterior Finishes,EA,12.00,EXT-VCAP4,5,true,Exterior wall vent cap for dryer or bath exhaust.,Pro Hardware Supply
Exterior Caulk Paintable (10 oz),Exterior Finishes,TU,5.50,EXT-CAULK10,5,true,Siliconized paintable caulk for exterior seams.,Pro Hardware Supply
Baseboard 3-1/2" MDF 16',Trim & Millwork,EA,18.00,TRM-BASE35-16,10,true,3.5-inch MDF baseboard. Paint grade.,Interior Supply Group
Baseboard 5-1/4" MDF 16',Trim & Millwork,EA,26.00,TRM-BASE525-16,10,true,5.25-inch MDF baseboard for a bolder profile.,Interior Supply Group
Door Casing Colonial 2-1/2" 7',Trim & Millwork,EA,8.50,TRM-DCAS25-7,10,true,Colonial door casing. Paint grade MDF.,Interior Supply Group
Window Casing 2-1/2" 8',Trim & Millwork,EA,9.50,TRM-WCAS25-8,10,true,Window casing for interior window frames.,Interior Supply Group
Crown Molding 3-5/8" 16',Trim & Millwork,EA,28.00,TRM-CRWN358-16,12,true,3.625-inch crown molding. Paint grade.,Interior Supply Group
Chair Rail 2-1/2" 16',Trim & Millwork,EA,18.00,TRM-CHRL25-16,10,true,Chair rail molding for wall protection and detail.,Interior Supply Group
Quarter Round 3/4" 16',Trim & Millwork,EA,7.50,TRM-QR34-16,10,true,3/4-inch quarter round for floor-to-wall transitions.,Interior Supply Group
Shoe Molding 9/16"x1-3/4" 16',Trim & Millwork,EA,6.50,TRM-SHOE-16,10,true,Shoe molding to cover floor-to-baseboard gap.,Interior Supply Group
Window Stool Pine 5/4"x4"x8',Trim & Millwork,EA,18.00,TRM-WSTL-48,10,true,Pine window stool (interior sill) for window finish.,Interior Supply Group
Window Apron 1"x4"x8',Trim & Millwork,EA,8.00,TRM-WAPR-48,10,true,Window apron below interior sill.,Interior Supply Group
Rosette Block 3-1/2",Trim & Millwork,EA,4.50,TRM-ROSE35,5,true,Corner block rosette for craftsman casing detail.,Interior Supply Group
Plinth Block 3-1/2",Trim & Millwork,EA,5.50,TRM-PLNT35,5,true,Plinth block at base of door casing.,Interior Supply Group
Craftsman Header Casing 5" 8',Trim & Millwork,EA,22.00,TRM-CHDR5-8,10,true,Flat craftsman header for door and window tops.,Interior Supply Group
Beadboard Paneling (per SF),Trim & Millwork,SF,2.85,TRM-BDBD-SF,10,true,Beadboard wainscot paneling. Price per SF.,Interior Supply Group
MDF Panel 1/4" 4x8,Trim & Millwork,SH,22.00,TRM-MDF14-48,10,true,1/4-inch MDF panel for wainscot and accent walls.,Interior Supply Group
Stair Stringer Precut PT 3-Step,Stairs & Rails,EA,38.00,STR-STRG3,5,true,Pressure-treated precut 3-step stair stringer.,Regional Lumber Co.
Stair Stringer Precut PT 4-Step,Stairs & Rails,EA,52.00,STR-STRG4,5,true,Pressure-treated precut 4-step stair stringer.,Regional Lumber Co.
Stair Stringer Precut PT 5-Step,Stairs & Rails,EA,65.00,STR-STRG5,5,true,Pressure-treated precut 5-step stair stringer.,Regional Lumber Co.
Oak Stair Tread 11-1/2"x4',Stairs & Rails,EA,35.00,STR-TREAD-OAK4,8,true,Solid oak stair tread. Unfinished.,Cabinet & Millwork Supply
Pine Stair Tread 11-1/2"x4',Stairs & Rails,EA,18.00,STR-TREAD-PINE4,8,true,Solid pine stair tread. Paint grade.,Cabinet & Millwork Supply
Stair Riser 1"x8"x48" Pine,Stairs & Rails,EA,12.00,STR-RISER-48,8,true,Pine stair riser board. Paint grade.,Cabinet & Millwork Supply
Wood Handrail Pine 8',Stairs & Rails,EA,28.00,STR-HRAIL-8,8,true,Pine handrail profile. Requires brackets.,Cabinet & Millwork Supply
Handrail Wall Bracket,Stairs & Rails,EA,8.50,STR-HRBKT,5,true,Wall-mount handrail bracket. Sold per each.,Cabinet & Millwork Supply
Wood Baluster 1-1/4"x36",Stairs & Rails,EA,3.50,STR-BAL-36,8,true,Square wood baluster for stair railing.,Cabinet & Millwork Supply
Newel Post 3-1/2"x3-1/2"x42",Stairs & Rails,EA,85.00,STR-NEWEL42,5,true,Box newel post for stair bottom and landing.,Cabinet & Millwork Supply
Stair Nose LVP 7',Stairs & Rails,EA,28.00,STR-NOSE-LVP7,5,true,LVP-compatible stair nose transition 7-ft.,Interior Supply Group
Stair Angle Bracket (pair),Stairs & Rails,PR,6.50,STR-ABKT-PR,5,true,Decorative L-brackets for stair tread attachment.,Pro Hardware Supply
Base Cabinet 12" Wide,Cabinets & Countertops,EA,85.00,CAB-B12,0,true,12-inch ready-to-assemble base cabinet.,Cabinet & Millwork Supply
Base Cabinet 18" Wide,Cabinets & Countertops,EA,110.00,CAB-B18,0,true,18-inch RTA base cabinet.,Cabinet & Millwork Supply
Base Cabinet 24" Wide,Cabinets & Countertops,EA,135.00,CAB-B24,0,true,24-inch RTA base cabinet.,Cabinet & Millwork Supply
Base Cabinet 36" Wide,Cabinets & Countertops,EA,185.00,CAB-B36,0,true,36-inch RTA base cabinet.,Cabinet & Millwork Supply
Base Corner Cabinet 36",Cabinets & Countertops,EA,245.00,CAB-BCNR36,0,true,36-inch blind corner base cabinet.,Cabinet & Millwork Supply
Wall Cabinet 12"Wx30"H,Cabinets & Countertops,EA,75.00,CAB-W1230,0,true,12-inch wide wall cabinet 30 inches tall.,Cabinet & Millwork Supply
Wall Cabinet 18"Wx30"H,Cabinets & Countertops,EA,95.00,CAB-W1830,0,true,18-inch wide wall cabinet.,Cabinet & Millwork Supply
Wall Cabinet 36"Wx30"H,Cabinets & Countertops,EA,145.00,CAB-W3630,0,true,36-inch wide wall cabinet.,Cabinet & Millwork Supply
Tall Pantry Cabinet 84"H,Cabinets & Countertops,EA,285.00,CAB-T84,0,true,Tall pantry/utility cabinet 84 inches tall.,Cabinet & Millwork Supply
Laminate Countertop (per LF),Cabinets & Countertops,LF,28.00,CTR-LAM-LF,5,true,Post-form laminate countertop. Per linear foot.,Cabinet & Millwork Supply
Quartz Countertop (per SF),Cabinets & Countertops,SF,85.00,CTR-QTZ-SF,5,true,Engineered quartz countertop installed. Per SF.,Cabinet & Millwork Supply
Granite Countertop (per SF),Cabinets & Countertops,SF,75.00,CTR-GRN-SF,5,true,Natural granite countertop installed. Per SF.,Cabinet & Millwork Supply
Cabinet Drawer Pull,Cabinets & Countertops,EA,3.50,CAB-PULL,5,true,Standard bar pull handle for cabinets.,Cabinet & Millwork Supply
Cabinet Door Hinge Soft-Close,Cabinets & Countertops,EA,3.00,CAB-HNGE-SC,5,true,Concealed soft-close cabinet hinge.,Cabinet & Millwork Supply
Undermount Sink Stainless 18"x16",Cabinets & Countertops,EA,145.00,CAB-SINK-18,0,true,Single bowl stainless steel undermount kitchen sink.,Plumbing Pro Distributors
Foundation Waterproof Membrane (per SF),Waterproofing & Sealing,SF,1.85,WP-FNDWPM-SF,5,true,Rubberized waterproofing membrane for below-grade walls.,Southwest Concrete Supply
Drainage Board 1" (per SF),Waterproofing & Sealing,SF,0.85,WP-DRNBD-SF,5,true,Dimple drainage board for foundation walls.,Southwest Concrete Supply
Window Flashing Tape 4" (75-ft roll),Waterproofing & Sealing,RL,28.00,WP-WFTPE4-75,5,true,Self-adhering window and door flashing tape.,Pro Hardware Supply
Door Pan Flashing 36",Waterproofing & Sealing,EA,18.00,WP-DPFL36,5,true,Flexible door sill pan flashing for exterior door openings.,Pro Hardware Supply
Self-Adhering Flashing Tape 6" (75-ft roll),Waterproofing & Sealing,RL,38.00,WP-AFTPE6-75,5,true,Wide self-adhering flashing tape for transitions and seams.,Pro Hardware Supply
Sill Seal Foam 3-1/2"x50',Waterproofing & Sealing,RL,12.00,WP-SILL35-50,5,true,Foam sill seal between sill plate and foundation.,Pro Hardware Supply
Vapor Barrier 6mil 10'x25',Waterproofing & Sealing,RL,18.00,WP-VB6M-1025,5,true,6-mil poly vapor barrier for crawl space and slab.,Southwest Concrete Supply
Hydraulic Cement (10 lb),Waterproofing & Sealing,BX,22.00,WP-HCEM10,5,true,Fast-setting hydraulic cement for active leaks in concrete.,Southwest Concrete Supply
Concrete Crack Filler (10 oz),Waterproofing & Sealing,TU,8.50,WP-CRFIL10,5,true,Polyurethane crack filler for concrete foundations.,Pro Hardware Supply
Waterproofing Coating (1 gal),Waterproofing & Sealing,GL,28.00,WP-COAT-1G,10,true,Masonry waterproofing paint for block and poured walls.,Southwest Concrete Supply
Backer Rod 3/8" (100-ft roll),Waterproofing & Sealing,RL,14.00,WP-BKRD38-100,5,true,Foam backer rod for deep joint sealing before caulk.,Pro Hardware Supply
Expansion Joint Filler 1/2"x4"x6',Waterproofing & Sealing,EA,6.50,WP-EXPJT-46,5,true,Fiber expansion joint for concrete slabs and flatwork.,Southwest Concrete Supply
Form Stakes Wood 1"x4"x24" (10-pack),Concrete Forming,PK,14.00,CF-FSTK-WD10,5,true,Wood form stakes for concrete flatwork.,Southwest Concrete Supply
Form Stakes Steel 16" (10-pack),Concrete Forming,PK,28.00,CF-FSTK-ST10,5,true,Steel form stakes for heavy-duty forming.,Southwest Concrete Supply
Snap Ties Wall Form (50/box),Concrete Forming,BX,28.00,CF-SNPTIE50,5,true,Snap ties for wall form assembly.,Southwest Concrete Supply
Form Release Agent (1 gal),Concrete Forming,GL,22.00,CF-RELEAS-1G,5,true,Oil-based release agent to prevent concrete bonding to forms.,Southwest Concrete Supply
Fiber Mesh Reinforcement (1.5 lb bag),Concrete Forming,BAG,8.50,CF-FMSH15,5,true,Polypropylene fiber mesh added to concrete mix for crack resistance.,Southwest Concrete Supply
Concrete Curing Compound (1 gal),Concrete Forming,GL,22.00,CF-CURECOMP-1G,5,true,Spray-on curing compound to retain moisture in fresh concrete.,Southwest Concrete Supply
Concrete Sealer Penetrating (1 gal),Concrete Forming,GL,32.00,CF-SEAL-1G,5,true,Penetrating silane sealer for finished flatwork and driveways.,Southwest Concrete Supply
Duplex Form Nails 16d (1 lb),Concrete Forming,LB,3.75,CF-NDPX16,5,true,Double-head duplex nails for concrete forming. Easy removal.,Southwest Concrete Supply
Metal Stud 3-5/8" 25ga 8',Metal Framing,EA,4.50,MF-ST358-25-8,10,true,25-gauge metal stud for non-load-bearing interior partitions.,Interior Supply Group
Metal Stud 3-5/8" 25ga 10',Metal Framing,EA,5.50,MF-ST358-25-10,10,true,10-foot 25-gauge metal stud.,Interior Supply Group
Metal Stud 6" 20ga 8',Metal Framing,EA,6.50,MF-ST6-20-8,10,true,20-gauge 6-inch metal stud for taller or structural partitions.,Interior Supply Group
Metal Stud 6" 20ga 10',Metal Framing,EA,8.00,MF-ST6-20-10,10,true,10-foot 20-gauge 6-inch metal stud.,Interior Supply Group
Metal Track 3-5/8" 25ga 10',Metal Framing,EA,4.00,MF-TK358-25-10,10,true,25-gauge metal track (top and bottom plate) for 3-5/8" studs.,Interior Supply Group
Metal Track 6" 20ga 10',Metal Framing,EA,5.50,MF-TK6-20-10,10,true,20-gauge 6-inch metal track.,Interior Supply Group
Metal Furring Channel 1-5/8" 10',Metal Framing,EA,3.50,MF-FC158-10,10,true,Hat-shaped furring channel for resilient mounting.,Interior Supply Group
Hat Channel 7/8" 10',Metal Framing,EA,4.00,MF-HC78-10,10,true,7/8-inch hat channel for horizontal furring over metal framing.,Interior Supply Group
Self-Drilling Screw #8x1/2" (1000/box),Metal Framing,BX,18.00,MF-SDSCRW-1000,5,true,Pan-head self-drilling screws for metal stud framing.,Interior Supply Group
Metal Stud Clip (bag of 25),Metal Framing,BG,12.00,MF-STCLIP25,5,true,Slip-track clips for deflection joints in metal framing.,Interior Supply Group
PT Deck Board 5/4"x6"x16',Deck & Outdoor,EA,24.00,DK-PTBD56-16,12,true,Pressure-treated 5/4"x6" deck board.,Regional Lumber Co.
PT Deck Board 2"x6"x16',Deck & Outdoor,EA,18.00,DK-PTBD26-16,12,true,Pressure-treated 2x6 for deck framing and planking.,Regional Lumber Co.
Composite Deck Board 1"x6"x16' (Trex),Deck & Outdoor,EA,42.00,DK-TCOMP16,10,true,Trex composite decking 1x6x16. Low maintenance.,Regional Lumber Co.
Composite Decking Hidden Fastener (75/bag),Deck & Outdoor,BG,22.00,DK-CFST75,5,true,Hidden fastener clips for composite decking installation.,Regional Lumber Co.
Decking Screws 305SS 2-1/2" (1 lb),Deck & Outdoor,LB,12.00,DK-SCRW305-25,5,true,305 stainless steel deck screws for outdoor use.,Pro Hardware Supply
Post Base Adjustable ABA44,Deck & Outdoor,EA,12.00,DK-ABA44,5,true,Simpson ABA44 adjustable post base for 4x4 deck posts.,Pro Hardware Supply
Post Base Adjustable ABA66,Deck & Outdoor,EA,18.00,DK-ABA66,5,true,Simpson ABA66 adjustable post base for 6x6 deck posts.,Pro Hardware Supply
Composite Railing Post 4"x4"x42",Deck & Outdoor,EA,45.00,DK-RLPOST42,5,true,Composite deck railing post 42-inch height.,Regional Lumber Co.
Composite Top Rail 8',Deck & Outdoor,EA,38.00,DK-TOPRAIL8,5,true,Composite top rail section for deck railing.,Regional Lumber Co.
Composite Baluster 36" (4-pack),Deck & Outdoor,PK,28.00,DK-BAL36-4,5,true,Composite square balusters 36-inch height.,Regional Lumber Co.
Newel Post Cap,Deck & Outdoor,EA,12.00,DK-NWLCAP,5,true,Post cap for composite newel post.,Regional Lumber Co.
Deck Board End Sealer (1 qt),Deck & Outdoor,QT,12.00,DK-ENDSEAL-QT,5,true,End-grain sealer to prevent PT deck board checking.,Pro Hardware Supply
Deck Stain & Sealer (1 gal),Deck & Outdoor,GL,38.00,DK-STAIN-1G,10,true,Semi-transparent deck stain and sealer combo.,Pro Hardware Supply
Joist Tape Flashing 4" (75-ft roll),Deck & Outdoor,RL,32.00,DK-JTFLASH75,5,true,Self-adhering flashing tape for deck joists to prevent rot.,Pro Hardware Supply
Interior Latex Paint (1 gal),Paint & Finish,GL,42.00,PNT-INT1G,10,true,Premium interior latex paint.,Interior Supply Group
Interior Latex Paint (5 gal),Paint & Finish,BKT,165.00,PNT-INT5G,10,true,Premium interior latex paint 5-gallon pail.,Interior Supply Group
Exterior Latex Paint (1 gal),Paint & Finish,GL,52.00,PNT-EXT1G,10,true,100% acrylic exterior paint.,Interior Supply Group
Exterior Latex Paint (5 gal),Paint & Finish,BKT,195.00,PNT-EXT5G,10,true,100% acrylic exterior paint 5-gallon pail.,Interior Supply Group
Interior Primer (1 gal),Paint & Finish,GL,28.00,PNT-PRM1G,10,true,PVA drywall primer for new drywall.,Interior Supply Group
Exterior Primer (1 gal),Paint & Finish,GL,32.00,PNT-EPRM1G,10,true,Oil-based exterior primer.,Interior Supply Group
Silicone Caulk (10.1 oz),Paint & Finish,TU,6.50,PNT-SIL10,5,true,100% silicone sealant for wet areas.,Interior Supply Group
Paintable Latex Caulk (10.1 oz),Paint & Finish,TU,4.50,PNT-LAT10,5,true,Alex Plus paintable latex caulk.,Interior Supply Group
Painter's Tape 2" (60 yd),Paint & Finish,RL,8.50,PNT-TAPE2,5,true,Professional blue painter's tape.,Interior Supply Group
Flexible Duct 6" 25-ft,HVAC,EA,48.00,HVAC-FD6-25,10,true,R-6 insulated flexible ductwork.,Pro Hardware Supply
Flexible Duct 8" 25-ft,HVAC,EA,65.00,HVAC-FD8-25,10,true,R-6 insulated flexible ductwork.,Pro Hardware Supply
Metal Duct 6" Round 5-ft,HVAC,EA,18.00,HVAC-MD6-5,5,true,26-gauge galvanized round duct.,Pro Hardware Supply
Metal Duct 8" Round 5-ft,HVAC,EA,24.00,HVAC-MD8-5,5,true,26-gauge galvanized round duct.,Pro Hardware Supply
Supply Register 4x10,HVAC,EA,8.50,HVAC-REG410,5,true,White steel supply register with damper.,Pro Hardware Supply
Return Air Grille 14x14,HVAC,EA,18.00,HVAC-RTN14,5,true,White steel return air grille.,Pro Hardware Supply
Digital Thermostat,HVAC,EA,65.00,HVAC-TSTAT,0,true,Programmable digital thermostat.,Pro Hardware Supply
HVAC Duct Tape 1.89"x60-yd,HVAC,RL,12.00,HVAC-DTPE,5,true,Aluminum foil HVAC duct tape.,Pro Hardware Supply
